Archivo,Fecha_Detectada,Video_Match,Link,Confianza
ACTA N° 003 DE FEBRERO 21 DE 2024 Cumplimiento a los Acuerdos N° 1131 de 2022 y 1057 de 2020.txt,21/02/2024,Socialización al cumplimiento de los Acuerdos N°. 1131 de diciembre 12 de 2022,https://www.youtube.com/watch?v=6DSp9Njirao,0.99
ACTA NÂ° 003 DE FEBRERO 21 DE 2024 Cumplimiento a los Acuerdos NÂ° 1131 de 2022 y 1057 de 2020.txt,21/02/2024,Socialización al cumplimiento de los Acuerdos N°. 1131 de diciembre 12 de 2022,https://www.youtube.com/watch?v=6DSp9Njirao,0.99
ACTA N° 010 DE ENERO 12 DE 2024 - Conversatorio como estamo en salud mental.txt,12/01/2024,Socialización de condiciones y atenciones en materia de salud mental en Caldas,https://www.youtube.com/watch?v=goADEM90WeQ,0.64
ACTA N° 011 de junio 12 de 2024 - Primer debate proyecto acuerdo N° 013 de 2024 Articulacion PDM y Pto 2024.txt,12/06/2024,Primer debate al Proyecto de Acuerdo N°. 013 de junio 5 de 2024,https://www.youtube.com/watch?v=fq6kh7Ni7Pc,0.93
ACTA N° 017 DE ENERO 22 DE 2024 - Aguas de Manizales empalme.txt,22/01/2024,"Presentación del informe de empalme de Aguas de Manizales, con la anterior Administración Municipal",https://www.youtube.com/watch?v=hCfocQkEBlo,0.55
ACTA N° 006 DE MARZO 13 DE 2024 Continuacion de la Socialización a la consrtruccion del plan de desarrollo.txt,13/03/2024,Socializaciones con la comunidad para la construcción colectiva del Plan de Desarrollo 2024-2027,https://www.youtube.com/watch?v=FreTvvT_nWk,0.77
ACTA N° 032 DE FEBRERO 8 DE 2024 - Personeria Informe de gestion 2020 - 2024.txt,08/02/2024,Presentación del informe de gestión 2020 - 2024 del Personero de Manizales,https://www.youtube.com/watch?v=eYYxCdlPyao,0.71
ACTA NÂ° 004 DE ENERO 17 DE 2024 Continuacion del Primer debate proyecto acuerdo NÂ° 003 de 2024.txt,17/01/2024,Primer debate al Proyecto de Acuerdo N°. 003 de enero 2 de 2024,https://www.youtube.com/watch?v=2_81NFR-Ptw,0.82
ACTA N° 003 DE ENERO 17 DE 2024 Primer debate Proyecto de Acuerdo N 005 de 2024.txt,17/01/2024,Primer debate al Proyecto de Acuerdo N°. 005 de enero 2 de 2024,https://www.youtube.com/watch?v=oTq9p7rbEdU,0.86
ACTA N° 009 DE FEBRERO 7 DE 2024 Once Caldas Cumplimiento Acuerdo 1144 de 2023.txt,07/02/2024,Socialización al cumplimiento del Acuerdo N° 1144 de Agosto 22 de 2023,https://www.youtube.com/watch?v=LGsh7q28d8E,0.96
ACTA N° 004 DE FEBRERO 28 DE 2024 - Estado de los escenarios deportivos de manizales - Sec Deporte.txt,28/02/2024,Socialización del informe al estado y administración de los escenarios deportivos de Manizales,https://www.youtube.com/watch?v=NplzX-0QRro,0.7
ACTA N° 005 DE MARZO 12 DE 2024 Continuacion de la Socialización a la consrtruccion del plan de desarrollo.txt,12/03/2024,Socializaciones con la comunidad para la construcción colectiva del Plan de Desarrollo 2024-2027,https://www.youtube.com/watch?v=FreTvvT_nWk,0.77
ACTA N° 019 DE ENERO 24 DE 2024 - Segundo debate PA N 002 de 2024 Vigencias futuras.txt,24/01/2024,Segundo debate del proyecto de acuerdo 001 del 02 de enero de 2024,https://www.youtube.com/watch?v=rGvdgsqJFKE,0.69
ACTA N° 004 DE MARZO 11 DE 2024 Socialización a la consrtruccion del plan de desarrollo.txt,11/03/2024,Socializaciones con la comunidad para la construcción colectiva del Plan de Desarrollo 2024-2027,https://www.youtube.com/watch?v=FreTvvT_nWk,0.78
ACTA NÂ° 004 DE FEBRERO 28 DE 2024 - Estado de los escenarios deportivos de manizales - Sec Deporte.txt,28/02/2024,Socialización del informe al estado y administración de los escenarios deportivos de Manizales,https://www.youtube.com/watch?v=NplzX-0QRro,0.7
ACTA N° 016 DE ENERO 20 DE 2024 - Segundo debate PA N 007 de 2024 Modifica el PTO.txt,20/01/2024,Segundo debate del proyecto de acuerdo 001 del 02 de enero de 2024,https://www.youtube.com/watch?v=rGvdgsqJFKE,0.74
ACTA NÂ° 002 DE ENERO 17 DE 2024 Primer debate proyecto acuerdo NÂ° 003 y 002 de 2024.txt,17/01/2024,Primer debate al Proyecto de Acuerdo N°. 003 de enero 2 de 2024,https://www.youtube.com/watch?v=2_81NFR-Ptw,0.82
ACTA N° 030 DE FEBRERO 6 DE 2024 - Secretaria de educacion empalme .txt,06/02/2024,Socialización del estado y la percepción de la manera en que recibió la Secretaria de Educación,https://www.youtube.com/watch?v=ukg9DtibkkA,0.62
ACTA N° 021 DE ENERO 26 DE 2024 - Socializacion lineamiento del plan de desarrollo 2024 - 2028.txt,26/01/2024,Socialización de los lineamientos del plan de desarrollo 2024 - 2028,https://www.youtube.com/watch?v=DPEv9bwsIO8,0.74
ACTA N° 002 DE ENERO 17 DE 2024 Primer debate proyecto acuerdo N° 003 y 002 de 2024.txt,17/01/2024,Primer debate al Proyecto de Acuerdo N°. 003 de enero 2 de 2024,https://www.youtube.com/watch?v=2_81NFR-Ptw,0.82
ACTA N° 040 DE FEBRERO 17 DE 2024 - Comision regional de competitividad.txt,17/02/2024,Socialización del informe de indicadores e índice de competitividad 2023,https://www.youtube.com/watch?v=e-g-sCWD2yY,0.75
ACTA N° 034 DE FEBRERO 10 DE 2024 - Informe de la Feria de Manizales 2024 y el Himno.txt,10/02/2024,Socialización de balance de la Feria de Manizales en su edición 67,https://www.youtube.com/watch?v=MGk2qU3WH9g,0.46
ACTA N° 011 DE ENERO 13 DE 2024 - Manizales como vamos informe de calidad de vida.txt,13/01/2024,Informe de calidad de vida territorial de Manizales y Caldas,https://www.youtube.com/watch?v=ClTtrYFYZqE,0.76
