video_url,docx_path
https://www.youtube.com/watch?v=2_81NFR-Ptw,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA NÂ° 004 DE ENERO 17 DE 2024 Continuacion del Primer debate proyecto acuerdo NÂ° 003 de 2024.docx
https://www.youtube.com/watch?v=oTq9p7rbEdU,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 003 DE ENERO 17 DE 2024 Primer debate Proyecto de Acuerdo N 005 de 2024.docx
https://www.youtube.com/watch?v=LGsh7q28d8E,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 009 DE FEBRERO 7 DE 2024 Once Caldas Cumplimiento Acuerdo 1144 de 2023.docx
https://www.youtube.com/watch?v=NplzX-0QRro,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 004 DE FEBRERO 28 DE 2024 - Estado de los escenarios deportivos de manizales - Sec Deporte.docx
https://www.youtube.com/watch?v=FreTvvT_nWk,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 005 DE MARZO 12 DE 2024 Continuacion de la Socialización a la consrtruccion del plan de desarrollo.docx
https://www.youtube.com/watch?v=rGvdgsqJFKE,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 019 DE ENERO 24 DE 2024 - Segundo debate PA N 002 de 2024 Vigencias futuras.docx
https://www.youtube.com/watch?v=FreTvvT_nWk,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 004 DE MARZO 11 DE 2024 Socialización a la consrtruccion del plan de desarrollo.docx
https://www.youtube.com/watch?v=NplzX-0QRro,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA NÂ° 004 DE FEBRERO 28 DE 2024 - Estado de los escenarios deportivos de manizales - Sec Deporte.docx
https://www.youtube.com/watch?v=rGvdgsqJFKE,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 016 DE ENERO 20 DE 2024 - Segundo debate PA N 007 de 2024 Modifica el PTO.docx
https://www.youtube.com/watch?v=2_81NFR-Ptw,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA NÂ° 002 DE ENERO 17 DE 2024 Primer debate proyecto acuerdo NÂ° 003 y 002 de 2024.docx
https://www.youtube.com/watch?v=ukg9DtibkkA,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 030 DE FEBRERO 6 DE 2024 - Secretaria de educacion empalme .docx
https://www.youtube.com/watch?v=DPEv9bwsIO8,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 021 DE ENERO 26 DE 2024 - Socializacion lineamiento del plan de desarrollo 2024 - 2028.docx
https://www.youtube.com/watch?v=2_81NFR-Ptw,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 002 DE ENERO 17 DE 2024 Primer debate proyecto acuerdo N° 003 y 002 de 2024.docx
https://www.youtube.com/watch?v=e-g-sCWD2yY,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 040 DE FEBRERO 17 DE 2024 - Comision regional de competitividad.docx
https://www.youtube.com/watch?v=MGk2qU3WH9g,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 034 DE FEBRERO 10 DE 2024 - Informe de la Feria de Manizales 2024 y el Himno.docx
https://www.youtube.com/watch?v=ClTtrYFYZqE,/Users/jesusandresmezacontreras/projects/astra/minutes/ACTA N° 011 DE ENERO 13 DE 2024 - Manizales como vamos informe de calidad de vida.docx
